ISBN,book_title,genre
157566156X,Dead in the Mud: An Amanda Hazard Mystery (Amanda Hazard Mysteries),Detective Fiction|Women Detectives - Fiction|Police Stories
055358183X,The Bride and the Beast,Romance
089375966X,All about Deserts (Question &amp; Answer Books (Troll)),Environmental Science & Ecosystems|Weather|Climate & Seasons|Fiction - General & Miscellaneous
0345417518,"The Celebration Chronicles : Life, Liberty and the Pursuit of Property Values in Disney's New Town",Walt Disney Enterprises.|New towns|New towns--Florida--Case studies|City and town life|City and town life--Florida--Celebration|City planning|City planning--Florida--Celebration
0802130747,Lonesome Traveler,Beats (Persons)|Beats (Persons)--Fiction
093237641X,COMMON LISP: The language,Computers &amp; the Internet|General
1551103753,Women of the Klondike,Women pioneers--History|Women pioneers--Yukon--Klondike River Valley--History|Gold miners--History|Gold miners--Yukon--Klondike River Valley--History|Women gold miners--History|Women gold miners--Yukon--Klondike River Valley--History|Gold discoveries
081256541X,Requiem for the Sun (The Symphony of Ages),Science Fiction & Fantasy
030780125X,A Stable in Bethlehem (First Little Golden Books),Children's Fiction|Concepts
0385468687,"The Devil, Delfina Varela and the Used Chevy",Mexican Americans|Mexican Americans--Fiction
0812693906,The Ayn Rand Cult,"AppreciationRand, Ayn|Fiction--Appreciation--History|Women and literature--History|Authors and readers--History|Philosophy in literature|Objectivism (Philosophy)|Intellectual life"
0345405404,Eleanor of Aquitaine : A Life,Queens|Queens--Great Britain--Biography|Queens--France--Biography|History
0395243505,Zoe's book: A novel,"Bloomsbury group|Bloomsbury group--Fiction|Authors, English|Lesbians|Lesbians--Fiction"
1558506462,Small Miracles: Extraordinary Coincidences from Everyday Life,Coincidence--Psychic aspects
0393036324,Out of the Blue: Depression and Human Nature,"Depression, Mental|Depression--diagnosis|Depression--etiology|Depression--psychology"
0471225150,"Santa's Gift: True Stories of Courage, Humor, Hope and Love",Love|Humanitarianism|Social action|Corporations--Charitable contributions|Charities
0226706133,Swoon (Phoenix Poets),American Poetry|Poetry of Places
000221329X,Hugh,Literary Collections
0316611689,Mutiny on the Bounty: A Novel,"History, Naval"
067181415X,Sturgeon Is Alive and Well: A Collection of Short Stories,Literary Collections
068880165X,Freight Train,Children's Fiction|Concepts
0877799172,Merriam-Webster's French-English Dictionary,French language--English|French language--Dictionaries--English|English language--French|English language--Dictionaries--French|English language|French language
8420633631,En busca del tiempo perdido. 1.Poe el camino de Swann,Literary Collections
1576730743,Patchwork of Love: Creating Friendships Piece by Piece,"Quilts|Psychological Aspects|Friendship|Quotations, Maxims, Etc"
067102096X,Lethal Seduction,Contemporary Romance|Women's Fiction
0226294021,"Smile of Discontent: Humor, Gender, and Nineteenth-Century British Fiction (Women in Culture &amp; Society (Paperback))",Humor|General & Miscellaneous Literary Criticism|Sex Role|English Literature
041592913X,Where We Stand: Class Matters,United States - Ethnic & Race Relations|Social Classes - General & Miscellaneous
1561710040,Presidential Passions: The Love Affairs of America's Presidents : From Washington and Jefferson to Kennedy and Johnson,First Ladies & Families - Biography|Presidents of the United States - General & Miscellaneous
0892435364,We Believe...: A Survey of the Catholic Faith : Revised and Cross-Referenced to the Catechism of the Catholic Church,Education - Roman Catholic|Catechisms|Doctrine - Roman Catholic
031070118X,Real Twelve Days of Christmas,Literary Collections
0878579117,Landscaping With Nature: Using Nature's Designs to Plan Your Yard,Landscape Gardening|Gardening To Attract Wildlife
081472714X,Overcoming Low Self-Esteem,Psychology &amp; Psychiatry|Cognitive Psychology
059045644X,"Karen, Hannie and Nancy: The Three Musketeers (Baby-Sitters Little Sister Super Special, 4)",Children's Fiction|Business|Careers|Occupations
0515110469,"Terror from the Throne (Camfield, No 114)",Fiction|Romance
0950017841,Welsh Is Fun,Welsh language--Textbooks for foreign speakers--English
0062734423,Who Was Eleanor Rigby: And 908 More Questions and Answers About the Beatles,Miscellanea
1551661683,Passion Flower,Fiction|Romance
0471295388,Too Good to Be Forgotten: Changing America in the '60s and '70s,"Obst, David|Journalists|Journalists--United States--Biography|Politics and government|Social conditions"
034537875X,The Case of the Screaming Woman,Mystery & Crime|American & Canadian Literature|Genres & Literary Forms|Fiction Subjects
0312864639,The Gutbucket Quest,Guitarists|Guitarists--Fiction|Guitar music (Blues)|Guitar music (Blues)--Fiction
0375503862,Hens Dancing,Single mothers|Single mothers--Fiction|Mother and child|Mother and child--Fiction|Domestic fiction
0375503196,Windchill Summer,Children of clergy|Children of clergy--Fiction|Young women|Young women--Fiction|Summer|Summer--Fiction
059043294X,The Dolphins and Me,Marine & Aquatic Life|Nature|Children - Animals|Mammals
0030595320,The Apocalypse Brigade,American fiction
038081465X,Watch by Moonlight,Fiction|Romance
158880058X,C# Core Language Little Black Book,Computers &amp; the Internet|Programming Languages
0451204476,Ordeal by the Sea : The Tragedy of the U.S.S Indianapolis,Indianapolis (Cruiser)
843207036X,El Jinete Polaco (ColecciÃ³n Autores espaÃ±oles e hispanoamericanos),Literary Collections
0877791856,Webster's Compact Rhyming Dictionary,English Dictionaries & Thesauri
094718399X,Flute Method Book 2 with CD (Audio),Literary Collections
0689708130,YELLOW BACK RADIO BROKE DOWN,African American Cowboys|Cowboys
840101512X,Ciudad De Las Bestias,Children's Fiction|General
0816728615,Black Beauty (Troll Illustrated Classics),Horses|Juvenile Fiction|Fiction
034528710X,Han Solo and the Lost Legacy,Comics &amp; Graphic Novels|Graphic Novels
0316174211,"Animal Rage (Smallville Series for Young Adults, No. 4)",Teenage Boys
0805073337,What Was She Thinking?: Notes on a Scandal: A Novel,Literary Collections
0671536745,LEGACY,
067179647X,WHATS STOPPING YOU: OVERCOME LEARNED HELPLESSNESS &amp; DO WHAT YOU DREAMD POSSIBL,Literary Collections
0030526337,"Allez, Viens!: Practice and Activity Book : Holt French Level 1",Literary Collections
0195116186,The Unfinished Journey: America Since World War II,Politics And Government|Social Conditions
067346962X,City Politics: Private Power and Public Policy,Urban Policy|Urban Sociology - United States|Economic Policies in the United States|Policy|Development & Renewal of Infrastructure|State & Local Government - General & Miscellaneous
185828077X,Europe: The Rough Guide (2nd ed),Travel|Europe
0062502514,Healing Words: The Power of Prayer and the Practice of Medicine,Healing--Religious aspects|Prayer|Religion and Medicine
0385424736,The Rainmaker,Insurance fraud|Insurance fraud--Fiction
0877739951,In the Lap of the Buddha,Meditation--Buddhism|Meditation--Therapeutic use
0135082277,The Last Italian: Portrait of a People,History|Social History
038046201X,Raging Hearts,Fiction|Romance
0380569523,City Primeval  Co,Fiction|Mystery & Detective
0385192991,Grace: The Secret Lives of a Princess,Princesses|Biography|Actors
0691017611,The Origins and History of Consciousness (Mythos Books),Consciousness|Personality
0525938095,The Erotic Edge: Erotica for Couples,"Erotic stories, American"
0929398394,When I Was Just Your Age,Customs|Traditions|Anthropology|Children - History|United States - People & Places
1883011582,Reporting Vietnam: American Journalism 1959-1969 (Part One) (Library of America),Journalism--History
1570610185,"Phantom Waters: Northwest Legends of Rivers, Lakes, and Shores","Water--Folklore|Water--Northwest, Pacific--Folklore|Lakes--Folklore|Lakes--Northwest, Pacific--Folklore|Rivers--Folklore|Rivers--Northwest, Pacific--Folklore|Indians of North America--Folklore|Indians of North America--Northwest, Pacific--Folklore"
068982047X,The Bestest Mom (Rugrats),Children's Fiction|Family
0451197550,The Hand That Rocks the Ladle: A Pennsylvania Dutch Mystery With Recipes (Pennsylvania Dutch Mysteries with Recipes (Paperback)),"Yoder, Magdalena (fictitious Character)|Women Detectives|Hotelkeepers|Mennonites"
1560255153,"My Husband Betty: Love, Sex, and Life with a Crossdresser",Transgender Persons|Cross-dressing|Cross-dressers|Transgender people|Man-woman relationships|Gender identity|Female impersonators
0590581074,Triplet Trouble and the Field Day Disaster (Triplet Trouble),Triplets|Schools
0380978903,Perfect Sax : A Madeline Bean Novel,"Bean, Madeline (Fictitious character)|Bean, Madeline (Fictitious character)--Fiction|Caterers and catering|Caterers and catering--Fiction|Jazz musicians|Jazz musicians--Fiction|Women cooks|Women cooks--Fiction|Cooking|Cooking--Fiction"
0374164770,"Faust, Part One",German literature
0671759159,Beating the Street,"Stocks--Handbooks, manuals, etc|Stocks--United States--Handbooks, manuals, etc|Mutual funds--Handbooks, manuals, etc|Mutual funds--United States--Handbooks, manuals, etc"
048641597X,The Wisdom of the Talmud (Dover Thrift Editions),Religion|Judaism
2203001097,L'Etoile Mysterieuse (Tintin),Children's Fiction|Comics & Graphic Novels
0006372570,Don't Ask the Price: The Memoirs of the President of Marks &amp; Spencer,Business &amp; Economics|Economic History
080541665X,"Mom, You're Incredible",Religion|Christianity
067145529X,MURDER TO GO,Literary Collections
0967027314,Color Her Dead (Susan Chase Mysteries),Women private investigators|Women private investigators--South Carolina--Myrtle Beach--Fiction|Runaway teenagers|Runaway teenagers--Fiction|Generation X|Generation X--Fiction|Lifeguards|Lifeguards--Fiction
0887436048,You Can't Scare Me: A Book of Numbers,Counting|Halloween
069811681X,Who's That Stepping on Plymouth Rock,
044000036X,Adriana,Literary Collections
0882899406,Cajun Night Before Christmas (Night Before Christmas Series),Children - Holidays & Festivals|Poetry - Assorted Topics|Children - Fiction & Literature
0439314550,Conversations with J.K. Rowling,British Authors - Interviews|Literature - Authors & Writers|Authors - Biography|Children's Writing|Children's & Young Adult Literature - Literary Criticism|Harry Potter - Fan Books|Harry Potter - About the Author|Women - Biography|Literature - Cri
1573221899,War Story,Reminiscing In Old Age|Holocaust Survivors|Funeral Rites And Ceremonies|Jews
0805075453,The Importance of Being Famous : Behind the Scenes of the Celebrity-Industial Complex,Celebrities|Celebrities--United States|Popular culture|Popular culture--United States|Mass media and culture|Mass media and culture--United States|Fame|Social life and customs
0380797526,The Garden of the Stone,"Fantasy Fiction, American"
078595192X,Martin Fierro,Literary Collections
0723261520,The Haunting of Kildoran Abbey,Literary Collections
1886947597,"Behind the Embassy Door: Canada, Clinton &amp; Quebec",Foreign relations
0446691631,Wired,Rapture (Christian eschatology)|Rapture (Christian eschatology)--Fiction|Electronic surveillance|Electronic surveillance--Fiction|End of the world|End of the world--Fiction
0670032654,The Turtle Warrior,Boys|Boys--Fiction
0465076963,In Search of Moby Dick: The Quest for the White Whale,Literary Collections
050552399X,Of Midnight Born,Romance
1568710275,The Palm Tree of Devorah,Cabala
2070386201,Quartier rÃ?Â©servÃ?Â©,Fiction
0060279176,Who Bop?,"Children's Poetry, American|Jazz|Poetry|American Poetry"
0816716366,Dinosaur Mysteries,Dinosaurs|Juvenile Literature
0895772655,America's Historic Places: An Illustrated Guide to Our Country's Past (Reader's Digest (Please Do Not Use)),U.S. Travel - National Parks & Historic Sites|U.S. Travel - General & Miscellaneous|Historic Interests - Travel Guides|United States History - Historic Preservation
0486218112,Traditional Japanese Patterns: 100 Outstanding Examples Collected and Introduced by Andrew W. Tuer,Stencil Work|Decoration And Ornament
0688024610,The White-Boned Demon: A Biography of Madame Mao Zedong,Statesmen|Statesmen--China--Biography|Spouses of heads of state|Spouses of heads of state--China--Biography|Stateswomen|Stateswomen--China--Biography
0333233808,"Five for sorrow, ten for joy: A novel",Monastic And Religious Life Of Women|Fiction|Catholics|Nuns
0307988635,In the Spotlight (Little Golden Book),Dolls|Fiction|Reporters And Reporting
0307120333,Elmo Gets Homesick (Sesame Street/a Growing Up Book),Comics & Graphic Novels
055321361X,Lord Jim,Literary Criticism|General
0029227909,THINKING IN TIME (THE USES OF HISTORY FOR DECISION MAKERS),Historical models|Decision making--Case studies|Decision Making|Internationality|Politics|Politics--United States|Foreign relations--Decision making--Case studies|Politics and government--Decision making--Case studies|Politics and government--Decision making|Foreign relations--Decision making
068985644X,Baby Bunny (Board Books Plus),Literary Criticism
0393024601,Burning Down the House: Move and the Tragedy of Philadelphia,MOVE (Organization)|Black nationalism|Black nationalism--Pennsylvania--Philadelphia|African Americans|African Americans--Pennsylvania--Philadelphia|Police-community relations|Police-community relations--Pennsylvania--Philadelphia|Race relations
042518871X,The Great American Handbook: What You Can Do for Your Country-Today and Everyday,History|United States
0006161529,Vintage Murder,Fiction|Mystery & Detective
0812234863,The Most Beautiful Man in Existence: The Scandalous Life of Alexander Lesassier,Physicians|Physicians--Great Britain--Biography|Physicians--Scotland--Edinburgh--Biography|Military Medicine--history|Extramarital Relations--history|Social life and customs
067189790X,"GO FOR IT, PATTI (PAXTON CHEERLEADERS 1) : GO FOR IT, PATTI (The Paxton Cheerleaders)",Literary Collections
0345366301,Perilous Seas (Man of His Word),Fiction|Science Fiction
006061725X,"The Joy of Living and Dying in Peace : Core Teachings of Tibetan Buddhism (Library of Tibet Series , Vol 3)",Buddhist Life|Tibetan Buddhism|Religious Inspiration - General|General & Miscellaneous Buddhism|Buddhist Doctrine
0801044081,Heroes of the Bible,"Bible Stories, English|Bible Stories"
0043720455,Outrageous fortune,Stress (psychology)|Life Change Events|Adjustment (psychology)|Case Studies
0875963161,The Green Pharmacy: New Discoveries in Herbal Remedies for Common Diseases and Conditions from the World's Foremost Authority on Healing Herbs,Herbs|Therapeutic Use
0345358791,2061: Odyssey Three,Twenty-first century|Twenty-first century--Fiction
3442761190,Das GlÃ?Â¼ck wartet drauÃ?Â?en vor der Stadt. Reportagen und ErzÃ?Â¤hlungen aus China.,"TravelSpengler, Tilman|Description and travel"
089296703X,Freezer Burn,Comics &amp; Graphic Novels|Graphic Novels
1579546277,Unequal Protection: The Rise of Corporate Dominance and the Theft of Human Rights,Industrial policy--History|Industrial policy--United States--History|Corporation law--History|Corporation law--United States--History|Business and politics--History|Business and politics--United States--History|Corporations--Moral and ethical aspects|Corporations--Moral and ethical aspects--United States|Human rights--History|Human rights--United States--History
0807115258,Dollar Road: A Novel,Women authors|American poetry
155652157X,"Impeccable Birdfeeding: How to Discourage Scuffling, Hull-Dropping, Seed-Throwing, Unmentionable Nuisances and Vulgar Chatter at Your Birdfeeder",Birds - Habitats & Behaviors|Field Guides - Birds|Pet Birds
037324049X,"Found: One Runaway Bride (Silhouette Special Education, No 1049)",Fiction|Romance
0380767597,Forget Me Not,Amnesia|Amnesia--Fiction
0892839929,Forgiving Our Parents Forgiving Ourselves: Healing Adult Children of Dysfunctional Families,Adult Children|Characteristics & Qualities - Self-Improvement|Coping & Healing
0758200668,Green Calder Grass,Calder family (Fictitious characters)|Calder family (Fictitious characters)--Fiction|Triangles (Interpersonal relations)|Triangles (Interpersonal relations)--Fiction|Divorced women|Divorced women--Fiction|Ranch life|Ranch life--Fiction|Domestic fiction
0066212480,Love the One You're With,African American gays|African American gays--Fiction|Gay men|Gay men--Fiction
0140434232,Complete Short Fiction (Penguin Classics Series),English fiction--Short stories
055308903X,Hymns to an Unknown God: Awakening the Spirit in Everyday Life,Body|Mind &amp; Spirit|General
1584790466,Inside Out : Relating Garden to House,Gardens|Design|Garden Rooms
0312857136,Now You See It...,Magicians|Magicians--Fiction
083830642X,Quest of the Holy Grail,Social Sciences|General
0399132694,"Elizabeth Takes Off: On Weight Gain, Weight Loss, Self Image, and Self-Esteem",Biographies &amp; Autobiographies|General
1852425768,James Miranda Barry,Fiction|Historical
0688076076,Chester's Way,Children's Fiction|Bedtime & Dreams
1550549170,Souvenir of Canada,"Coupland, Douglas|National characteristics, Canadian|National characteristics, Canadian--Miscellanea|Social life and customs|Moeurs et coutumes"
006051907X,The Hulk: The Junior Novel (The Hulk),Literary Collections
0856487643,"The Story of the Sower (Frank, Penny. Lion Story Bible, 39.)",Sower (parable)|Parables|Bible Stories|New Testament
0812930347,Living Faith,Christian Life|Baptist Authors
0312135653,A Monstrous Regiment of Women,"Holmes, Sherlock|Holmes, Sherlock (Fictitious character)|Holmes, Sherlock (Fictitious character)--Fiction|Women detectives|Women detectives--England--London--Fiction"
0380793180,Immortality: How Science Is Extending Your Life Span and Changing the World,Longevity|Longevity--Popular works
0399137904,A Question of Choice,"Weddington, Sarah Ragle|Jurisprudence|Abortion|Women lawyers|Women lawyers--United States--Biography|Lawyers|Lawyers--United States--Biography|Abortion--United States|Abortion, Induced"
0671020307,Crystal (Orphans),Orphans|Girls
073930657X,Under the Banner of Heaven,History|United States
059044879X,Discovering More Science Secrets,Earth Science|Science & Technology Experiments|General & Miscellaneous Science|Science Experiments - General & Miscellaneous|Biology|Physics
055348687X,"The Best of the Best (Replica, 7)",Children's Fiction|Science Fiction|Fantasy|Magic
0812216431,The Fantasy Factory: An Insider's View of the Phone Sex Industry,Telephone sex|Telephone sex--United States|Intimacy (Psychology)|Feminist theory|Feminist theory--United States|Technology and civilization|Technology and civilization--United States
0373240368,"Waiting At The Altar ( Sweet Hope Wedding, Wedding Arch) (Silhouette Special Edition, No 1036)",Literary Collections
0767903609,Simple to Spectacular: How to Take One Basic Recipe to Four Levels of Sophistication,Cooking
039331281X,Nelson Mandela: The Man and the Movement,Children - Social Studies|Children - History|Children - Biography
1550502654,Residual Desire,
1929001053,Granta 75: Brief Encounters,Literary Collections|General
0373625219,Twilight Children (Deathland #21) (Deathlands No 21),Fiction|Action & Adventure
0812966678,A Certain Chemistry : A Novel,Television actors and actresses|Television actors and actresses--Fiction|Triangles (Interpersonal relations)|Triangles (Interpersonal relations)--Fiction|Autobiography--Authorship|Autobiography--Authorship--Fiction|Ghostwriters|Ghostwriters--Fiction
014044565X,Ecclesiastical History of the English People With Bede's Letter to Egbert and Cuthberts Letter on the Death of Bede (Penguin Classics),Sacraments & Rites - Christianity|Europe - Civilization|Great Britain - General & Miscellaneous History|Medieval History - Religious Aspects|General & Miscellaneous Church History|General & Miscellaneous Medieval History|English|Irish|Scottish Fic
0373052545,"When Snow Meets Fire (Silhouette Desire, No 254)",
0942361784,Making Your Dreams Come True: A Plan for Easily Discovering and Achieving the Life You Want!,Success|Psychological Aspects
0486270661,The Trial and Death of Socrates : Four Dialogues (Dover Thrift Editions),"Socrates|Philosophers, Ancient|Philosophy, Ancient|Philosophy"
0385500327,Here is My Hope : A Book of Healing and Prayer:  Inspirational Stories of Johns Hopkins Hospital,Healing--Religious aspects|Medicine--Religious aspects|Prayer
0877957185,Trumps of Doom,Comics &amp; Graphic Novels|Graphic Novels
0812906217,Intent on laughter,Wit and humor--Philosophy|Wit and humor--Psychological aspects
031263546X,The practice of writing,Language Arts &amp; Disciplines|Composition & Creative Writing
0664256937,The Prostitute in the Family Tree: Discovering Humor and Irony in the Bible,Humor - History & Criticism|Oral Tradition & Storytelling|Christianity - General & Miscellaneous|Religion & Beliefs - Humor
052593863X,Reckless Driver,Fiction|General
1565924495,Using Samba (O'Reilly System Administration),Client/server computing
0670030872,The First Heroes: The Extraordinary Story of the Doolittle Raid - America's First World War II Victory,Biographies &amp; Autobiographies|Military
067156787X,A TIME OF WAR : A TIME OF WAR,Fiction
0345355563,The hill,
2253138622,Nuit d'Ã?Â©tÃ?Â©,Fiction
0802482422,Damaged But Not Broken; A Personal Testimony of How to Deal with the Impact of Cancer,Kidneys|Cancer|Patients|Religious Life|Biography|Religious Aspects|Christianity
0679438890,Original Sin,"Dalgliesh, Adam|Dalgliesh, Adam (Fictitious character)|Dalgliesh, Adam (Fictitious character)--Fiction|Publishers and publishing|Publishers and publishing--England--London--Fiction|Police|Police--England--London--Fiction"
067960135X,Wuthering Heights (Modern Library (Hardcover)),Fiction|Literary
1578515823,Geeks and Geezers,Leadership|Executive ability|Executives|Executives--Biography|Famous Persons|Achievement|Social Environment
0195029194,Civilities and Civil Rights,African Americans--Civil rights|African Americans--Civil rights--North Carolina--Greensboro|Race relations
042514755X,McNally's Trial (Archy McNally Novels (Paperback)),Fiction|Mystery & Detective
039914515X,Black Notice,Fiction|Mystery & Detective
8420634166,"Cuentos, 2",Literary Collections
0155413465,In Depth: Essayists for Our Time,College readers
0934878420,The Book of Kisses,Family &amp; Relationships|Love & Romance
037326237X,Caravaggio Books (Kingsford Mystery),Fiction|General
014027684X,Daughter of the Queen of Sheba: A Memoir,Psychological Self-Help|Entertainment Biography|Journalism|Radio|Women's Biography|Family Memoirs - Biography|Medical Figures|News & Media Biography|Patient Narratives
0811810380,"Autumn Nights, Winter Mornings: A Collection of Cold-Weather Comfort Foods",Cooking|Autumn|Winter|Entertaining
0394743873,Taoist I Ching,Confucianism|Chinese Philosophy|Taoism
0393958493,"Darwin, Third Edition (Norton Critical Editions)",Evolution (Biology)--History|Naturalists|Naturalists--Great Britain--Biography|Evolutietheorie|Invloed|Évolution (biologie)--Histoire|Evolutionstheorie|B
0425179486,The Tainted Snuff Box: A Beau Brummell Mystery,Courts and courtiers|Courts and courtiers--Fiction|Dandies|Dandies--Fiction|History
0688093728,Caesar: A Novel,Fiction
0944641393,A view of Wall Street from the seventh floor,HistoryNew York Stock Exchange|HistoryStock Exchange Luncheon Club|History|Economic conditions
1569473684,Birds of a Feather,Fiction|Historical
1887655816,Graduates Book of Wisdom: Common-Sense Advice for the Rest of Your Life,Education|General
1567921892,The Woman in Black: A Ghost Story,Legal stories
2070423174,Tao-tÃ?Â¶ King,Fiction
0671875973,"The Chaos Gate (The Bard's Tale, Book 4)",Comics &amp; Graphic Novels|Graphic Novels
0451180488,Fortune's Folly (Signet Regency Romance),Literary Collections
0684867982,Wild Life : A Novel,Frontier and pioneer life|Frontier and pioneer life--Fiction|Wilderness survival|Wilderness survival--Fiction|Women pioneers|Women pioneers--Fiction|Wild men|Wild men--Fiction
0030635543,The Time of the Assassins,Criminal Investigation|Offenses Against Heads Of State
0762103388,"1,001 Computer Hints &amp; Tips: An A-To-Z Guide to Making the Most of Your Computer and the Internet",Internet & World Wide Web - General & Miscellaneous|Computer Reference - General & Miscellaneous|General & Miscellaneous PCs
068950599X,A Tree Place : And Other Poems,Poetry - Assorted Topics
088984111X,Quickening,Fiction|Short Stories
006097415X,The Content of Our Character : A New Vision of Race In America,African American History - Social Aspects|United States - Ethnic & Race Relations|African Americans - Social Conditions
044652154X,Mortal Sins,Fiction|General
187398247X,Confessions of a Flesh-Eater (Dedalus Original Fiction in Paperback Ser.),Fiction|General
0671448099,Puffball: A Novel,Women|Women--Fiction|Country homes|Country homes--Fiction|Married women|Married women--Fiction
0142300349,The Book of the Lion,Teen Fiction
0061065846,"The Case of the Summer Camp Caper (The New Adventures of Mary-Kate &amp; Ashley, No. 11)",Children's Fiction|Mysteries & Detective Stories
0870135627,Sorrow's Kitchen Poems by James Sallis,American poetry
0802764363,Sports for the Handicapped,Sports For People With Disabilities
0195535650,Australian Cities: Continuity and Change (Meridian : Australian Geographical Perspectives),Cities and towns|Cities and towns--Australia|Urban policy|Urban policy--Australia|Social conditions
0908569882,Between Friends: A Novel,City and town life|City and town life--New Zealand--Fiction
097234988X,The Protest,Literary Collections
0060277327,Ruby Holler (Carnegie Medal (Awards)),Children's Fiction|Family
044040455X,"Wake Up, Emily, It's Mother's Day (Kids of the Polk Street School)",Literary Collections
0380017806,Voyage: A Novel of 1896,Fiction|General
1568362269,Dream's End: Two Iowa Brothers in the Civil War,Soldiers|Soldiers--Iowa--Biography|History--Regimental histories
0671530070,"Bardot, Deneuve, Fonda","Relations with womenVadim, Roger|Bardot, Brigitte|Motion picture producers and directors|Motion picture producers and directors--France--Biography|Motion picture actors and actresses|Motion picture actors and actresses--Biography"
0809448610,Wheels and Wings (A Child's First Library of Learning),Vehicles|Questions And Answers
000200545X,Elegance,Literary Collections
0940160641,Marquard &amp; Seeley,Pitchers (Baseball)|Pitchers (Baseball)--New York (State)--New York--Biography|Pitchers (Baseball)--United States--Biography|Entertainers|Entertainers--United States--Biography|Vaudeville--History|Vaudeville--United States--History
0891073000,Journey to Aldairoon (A Crossway youth book),Children's Fiction|Religious
0395848385,The Gate of Angels,Working Class Women|Fiction|Physicists
0312287755,Mistletoe and Murder: A Daisy Dalrymple Mystery,"Dalrymple, Daisy|Dalrymple, Daisy (Fictitious character)|Dalrymple, Daisy (Fictitious character)--Fiction|Women journalists|Women journalists--Fiction|Haunted houses|Haunted houses--Fiction"
0297645749,The Stone of Heaven,Precious stone industry--Social aspects|Precious stone industry--Social aspects--Burma|Precious stone industry--Social aspects--China|Precious stone industry--History|Precious stone industry--Burma--History|Jadeite (Petrology)
0192823019,Ben Jonson (Oxford Poetry Library),Literary Collections
0375400508,The Flamingo Rising,Fiction|General
0385315023,Windy City Blues (V.I. Warshawski Novels (Hardcover)),Fiction|General
081631053X,Four on the Edge,Literary Collections
155110198X,Wolves,Nature|Animals
067976755X,Cross Channel,Fiction|World Literature|Fiction Subjects
0870215566,"Sea Battles in Close-Up, World War II",HistoryGreat Britain. Royal Navy|Military policy
055323403X,The Magic of Findhorn,Body|Mind &amp; Spirit|General
0679773002,William Cooper's Town: Power and Persuasion on the Frontier of the Early American Republic,History
014028124X,Queen Kat Carmel and St Jude Get a Life,Children's Fiction|General
0822954265,"Thunder in the Mountains: The West Virginia Mine War, 1920-21",
034077035X,Tango One (Stephen Leather Thrillers),Fiction|Mystery & Detective
156326255X,The magic carpet's secret (Disney's Aladdin series),Children's Fiction|Fairy Tales & Folklore
031218087X,Digital Fortress,Comics &amp; Graphic Novels|Graphic Novels
0140076654,The Salt Line (Contemporary American Fiction),
1932407022,Six Bills (Wilhelmina Carson Novels),"Carson, Wilhelmina (Fictitious character)|Carson, Wilhelmina (Fictitious character)--Fiction|Women judges|Women judges--Florida--Tampa--Fiction|Judges|Judges--Florida--Tampa--Fiction|Murder--Investigation|Murder--Investigation--Florida--Tampa--Fiction"
0192891596,The Character of Mind,Psychology--Philosophy
0451458001,A Dance for Emilia,Friendship|Friendship--Fiction|Death|Death--Fiction|Cats|Cats--Fiction
0070428417,Growing Young,Maturation (Psychology)|Child development|Neoteny--Psychological aspects|Aging--Psychological aspects|Youthfulness|Genetic psychology|Child|Rejuvenation|Aging
0870211900,Bluejacket: An Autobiography (Classics of Naval Literature),"Buenzle, Fred J|United States. Navy|Sea lifeUnited States. Navy|Sailors|Sailors--United States--Biography"
0688160999,Biomimicry: Innovation Inspired by Nature,Nature|Ecology
0814758169,Godel's Proof,Gödel's theorem
0671008927,STAR TREK THE NEXT GENERATION SKETCHBOOK THE MOVIES (Star Trek),Star Trek films
0140430784,Pickwick Club: Posthumous Papers (Penguin English Library),Men--Societies and clubs|Men--Societies and clubs--Fiction|Male friendship|Male friendship--Fiction
0140057048,The Memorial Hall Murder: A Homer Kelly Mystery (Penguin Crime Monthly),"Kelly, Homer (Fictitious character)|Kelly, Homer (Fictitious character)--Fiction|College teachers|College teachers--Fiction"
0840732228,Food for the Hungry Heart: Daily Devotions for Overeaters (Serenity Meditation Series),Eating disorders--Patients--Prayers and devotions--English|Devotional calendars
157145165X,Encyclopedia of the Horse,Nature|Animals
068127493X,World Mythology: An Anthology Of The Great Myths And Epics,Literary Collections
078681358X,Morning Girl,Children - Fiction & Literature
0684868008,Casanova in Bohemia : A Novel,Autobiography--Authorship|Autobiography--Authorship--Fiction|Libertinism|Libertinism--Fiction|Illuminati|Illuminati--Fiction
0140006923,The Rainbow,Families|Families--England--Midlands--Fiction|Domestic fiction
0380975270,Murder Makes Waves,Patricia Anne (fictitious Character)|Fiction|Mary Alice (fictitious Character)|Women Detectives|Sisters
0385481268,Best Friends,Friendship|Friendship--Pictorial works
1567186106,Fortune in a Coffee Cup: Divination With Coffee Grounds,Fortune-telling By Coffee Grounds
0670849634,Without a Hero: Stories,Social life and customs--Fiction
0020291604,The Sybil Leek Book of Fortune Telling.,Literary Collections
0679437223,Catch-22 (Everyman's Library (Cloth)),
155166903X,The Ties That Bind,Fiction|Romance
0091697913,The last paradise,Plantation owners|Plantation owners--Papua New Guinea--Biography|Hunters|Hunters--Papua New Guinea--Biography
0722514549,"The Single Vegan: Simple, Convenient and Appetizing Meals for One",Vegan cooking|Cooking for one
0586085335,The Freudian fallacy: Freud and cocaine,"Psychoanalysis|Cocaine abuse|PsychoanalysisTheories of Freud, SigmundInfluence of cocaine abuse"
193110008X,Vistas: Pocket Dictionary,Conversation & Phrase Books - Spanish Language|Dictionaries - Spanish Language
